n,carat,cut,color,clarity,depth,table,price,x,y,z
28399,0.28,Very Good,E,VVS2,63.2,56,669,4.17,4.21,2.65
28401,0.29,Premium,G,VVS1,62,58,669,4.23,4.19,2.61
28402,0.35,Good,G,SI1,63.8,54,669,4.48,4.46,2.85
28404,0.35,Ideal,G,SI1,61.3,56,669,4.56,4.54,2.79
28405,0.35,Very Good,D,SI2,63.3,55,669,4.49,4.45,2.83
28406,0.35,Premium,D,SI2,60.8,58,669,4.57,4.51,2.76
28412,0.35,Premium,G,SI1,60.6,58,669,4.6,4.58,2.78
28413,0.29,Ideal,E,VVS2,62,55,669,4.25,4.27,2.64
28414,0.29,Ideal,F,VVS1,60.9,57,669,4.29,4.32,2.62
28419,0.43,Good,D,SI2,63.1,59,669,4.8,4.81,3.03
28423,0.42,Very Good,H,SI1,61.5,54,670,4.87,4.89,3
28424,0.38,Ideal,J,VVS2,61.7,54.6,670,4.65,4.69,2.89
28428,0.3,Ideal,D,VS2,61.4,54,670,4.34,4.39,2.68
28435,0.3,Ideal,E,VS1,61.8,56,670,4.32,4.35,2.68
28439,0.3,Ideal,D,SI1,61.3,57,670,4.34,4.37,2.67
28449,0.31,Ideal,H,VVS1,61.3,56,671,4.36,4.39,2.68
28452,0.32,Ideal,D,VS2,61.2,56,671,4.38,4.41,2.69
28453,0.38,Ideal,H,SI1,62,54,671,4.66,4.72,2.91
28454,0.41,Ideal,G,SI1,62.2,56,671,4.75,4.77,2.96
28466,0.38,Very Good,F,SI1,61.7,58,672,4.66,4.73,2.89
28467,0.39,Very Good,E,SI2,59.1,56,672,4.76,4.82,2.83
28479,0.32,Very Good,E,SI1,63.1,54,672,4.41,4.37,2.77
28489,0.42,Ideal,J,VVS2,61.7,54,673,4.83,4.86,2.99
28492,0.29,Ideal,G,VVS1,62.4,56,673,4.22,4.24,2.64
28498,0.3,Ideal,F,VS1,62.4,56,673,4.3,4.32,2.68
28510,0.3,Premium,F,VS2,58.8,60,673,4.41,4.37,2.58
28520,0.34,Very Good,H,VVS2,63.1,57,674,4.41,4.49,2.81
28522,0.41,Very Good,E,SI1,60,58,674,4.79,4.88,2.9
28530,0.38,Ideal,I,VS2,61.4,55,675,4.66,4.69,2.87
28532,0.33,Ideal,I,IF,62,54,675,4.46,4.48,2.77
28534,0.33,Ideal,I,IF,61.1,56,675,4.45,4.49,2.73
28536,0.4,Premium,J,SI1,61.4,58,675,4.79,4.76,2.93
28539,0.3,Premium,E,SI1,62.7,60,675,4.28,4.24,2.67
28544,0.3,Premium,E,SI1,61.8,60,675,4.28,4.23,2.63
28546,0.3,Premium,I,VVS2,61.8,58,675,4.33,4.28,2.66
28552,0.3,Ideal,H,VS1,62.9,54,675,4.31,4.28,2.7
28554,0.3,Ideal,H,VS1,62.3,55,675,4.34,4.29,2.69
28562,0.3,Ideal,H,VS1,61.6,55,675,4.3,4.27,2.64
28568,0.3,Premium,H,VS1,62.3,58,675,4.28,4.26,2.66
28570,0.3,Ideal,H,VS1,62.9,57,675,4.29,4.26,2.69
28576,0.3,Very Good,H,VS1,63.1,57,675,4.26,4.24,2.68
28587,0.3,Ideal,G,VS2,62.3,56,675,4.3,4.27,2.67
28594,0.3,Ideal,G,VS2,63,55,675,4.31,4.29,2.71
28596,0.3,Premium,G,VS2,62.2,60,675,4.25,4.24,2.64
28597,0.3,Very Good,G,VS2,63.1,57,675,4.28,4.24,2.69
28598,0.3,Very Good,G,VS2,63.1,56,675,4.28,4.25,2.69
28600,0.3,Ideal,G,VS2,62.2,57,675,4.32,4.26,2.67
28608,0.3,Ideal,E,SI1,62.9,57,675,4.32,4.27,2.7
28613,0.3,Very Good,E,SI1,63.2,57,675,4.3,4.25,2.7
28625,0.33,Ideal,H,SI2,61.3,55,433,4.48,4.49,2.75
28629,0.26,Ideal,H,VS2,62.1,55,434,4.08,4.1,2.54
28631,0.26,Ideal,I,VS1,62.1,55,434,4.11,4.13,2.56
28632,0.32,Ideal,H,SI2,60.9,56,434,4.41,4.45,2.7
28636,0.33,Premium,G,SI2,62.6,58,434,4.4,4.42,2.76
28639,0.33,Very Good,G,SI2,59.4,59,434,4.5,4.52,2.68
28644,0.33,Premium,I,SI1,60.4,59,434,4.5,4.54,2.73
28650,0.31,Very Good,I,VS2,62.3,57,435,4.32,4.35,2.7
28654,0.33,Very Good,E,VS2,60.6,58,675,4.45,4.49,2.71
28662,0.36,Very Good,E,VS2,60.4,58,677,4.58,4.62,2.78
28676,0.24,Ideal,F,VVS1,62,56,678,3.99,4.01,2.48
28691,0.39,Very Good,I,VS2,60.1,57,679,4.74,4.77,2.86
28699,0.43,Premium,F,SI2,60.2,60,679,4.85,4.91,2.94
28700,0.43,Very Good,F,SI2,60.5,59,679,4.88,4.91,2.96
28701,0.3,Very Good,G,VVS1,61.9,55,680,4.31,4.32,2.67
28705,0.41,Very Good,I,SI1,63.3,60,680,4.71,4.64,2.96
28711,0.23,Very Good,E,VVS2,63.3,56,680,3.92,3.88,2.47
28715,0.23,Premium,E,VVS1,61.3,60,680,4.01,3.95,2.44
28720,0.31,Premium,E,VS2,61.6,59,680,4.32,4.35,2.67
28724,0.31,Premium,E,VS2,62.6,58,680,4.29,4.33,2.7
28725,0.31,Ideal,E,VS2,61.8,54,680,4.36,4.41,2.71
28727,0.31,Very Good,E,VS2,62.8,57,680,4.33,4.37,2.73
28731,0.31,Ideal,E,VS2,60.5,56,680,4.38,4.41,2.66
28734,0.31,Ideal,E,VS2,61.7,55,680,4.36,4.39,2.7
28741,0.31,Ideal,E,VS2,60.8,54,680,4.39,4.4,2.67
28743,0.31,Ideal,E,VS2,61.8,55,680,4.33,4.35,2.68
28744,0.31,Ideal,E,VS2,61,54,680,4.37,4.41,2.68
28746,0.31,Ideal,E,VS2,61.3,56,680,4.34,4.37,2.67
28753,0.31,Very Good,E,VS2,62.6,56,680,4.3,4.33,2.7
28755,0.31,Ideal,E,VS2,61,56,680,4.34,4.38,2.66
28759,0.31,Ideal,E,VS2,62,55,680,4.33,4.35,2.69
28763,0.31,Ideal,F,VS1,60.6,56,680,4.39,4.42,2.67
28764,0.31,Premium,F,VS1,61.8,60,680,4.35,4.39,2.7
28768,0.31,Premium,E,VS2,60.6,59,680,4.36,4.39,2.65
28769,0.31,Premium,E,VS2,61,59,680,4.35,4.37,2.66
28770,0.31,Ideal,E,VS2,62.3,57,680,4.32,4.35,2.7
28771,0.31,Ideal,E,VS2,61.9,55,680,4.34,4.39,2.7
28781,0.33,Ideal,E,VS2,59.3,58,681,4.53,4.51,2.68
28782,0.37,Premium,I,VVS1,61.6,59,681,4.62,4.66,2.86
28787,0.37,Premium,D,SI1,61.9,59,681,4.62,4.65,2.87
28791,0.37,Premium,I,VVS1,62.4,58,681,4.55,4.58,2.85
28792,0.3,Very Good,D,VS1,59.7,58,681,4.39,4.32,2.6
28793,0.37,Premium,D,SI1,62.7,58,681,4.55,4.58,2.86
28798,0.27,Very Good,F,VVS1,61.8,56,682,4.15,4.17,2.57
28802,0.27,Very Good,E,VVS1,62.3,56,682,4.16,4.19,2.6
28806,0.33,Ideal,E,VS2,62.4,54,682,4.44,4.47,2.78
28808,0.42,Ideal,G,SI2,61.5,56,682,4.83,4.79,2.96
28809,0.32,Ideal,E,SI1,61.5,55,682,4.4,4.44,2.72
28810,0.3,Good,F,VVS1,61.1,61,682,4.29,4.32,2.63
28813,0.32,Very Good,F,VVS2,63.2,52,683,4.38,4.39,2.77
28815,0.39,Ideal,G,SI2,62,55,683,4.69,4.73,2.92
28821,0.31,Ideal,D,VS1,60.5,55,683,4.39,4.43,2.67
28824,0.41,Premium,D,SI2,62.3,58,683,4.74,4.77,2.96
28827,0.41,Premium,E,SI2,60,59,683,4.78,4.82,2.88
28835,0.41,Ideal,E,SI2,60.7,57,683,4.81,4.85,2.93
28845,0.41,Ideal,H,SI1,62.6,55,683,4.77,4.79,2.99
28846,0.41,Very Good,E,SI2,62.9,58,683,4.74,4.77,2.99
28853,0.41,Ideal,D,SI2,62.6,55,683,4.76,4.8,2.99
28855,0.41,Premium,H,SI1,60.9,60,683,4.79,4.83,2.93
28861,0.3,Ideal,F,VVS2,62.3,54,684,4.32,4.35,2.7
28862,0.31,Ideal,G,VS2,61.1,55,684,4.39,4.41,2.69
28869,0.37,Ideal,H,SI1,59.7,56,684,4.71,4.67,2.8
28873,0.32,Premium,J,IF,61.2,59,684,4.44,4.41,2.71
28876,0.31,Ideal,D,SI1,62,56,684,4.39,4.35,2.71
28880,0.31,Ideal,D,SI1,61.8,57,684,4.37,4.33,2.69
28884,0.44,Good,E,SI2,63.2,59,684,4.8,4.85,3.05
28892,0.3,Very Good,G,VVS2,61.8,59,684,4.22,4.26,2.62
28893,0.3,Premium,H,VVS1,61.8,58,684,4.32,4.36,2.68
28897,0.3,Good,G,VVS2,63.3,57,684,4.23,4.27,2.69
28898,0.3,Premium,G,VVS2,61.2,59,684,4.31,4.35,2.65
28899,0.3,Good,G,VVS2,63.8,57,684,4.24,4.26,2.71
28905,0.3,Very Good,H,VVS1,62.6,60,684,4.21,4.26,2.65
28906,0.3,Ideal,G,VVS2,60.9,57,684,4.32,4.35,2.64
28912,0.3,Very Good,G,VVS2,60.6,58,684,4.35,4.36,2.64
28913,0.3,Ideal,G,VVS2,61.1,57,684,4.32,4.35,2.65
28915,0.36,Ideal,E,VS2,61.7,57,684,4.55,4.59,2.82
28924,0.3,Ideal,H,VVS1,61.9,55,684,4.32,4.34,2.68
28931,0.3,Premium,G,VVS2,61.9,59,684,4.25,4.28,2.64
28945,0.3,Good,H,VVS1,63.4,57,684,4.27,4.31,2.72
28947,0.3,Ideal,G,VVS2,60.6,57,684,4.33,4.35,2.63
28948,0.3,Ideal,G,VVS2,62.7,57,684,4.26,4.32,2.69
28949,0.3,Premium,H,VVS1,62.3,58,684,4.29,4.32,2.68
28954,0.31,Very Good,H,SI1,62.9,56,435,4.27,4.31,2.7
28957,0.31,Good,I,VS2,63.2,55,435,4.3,4.4,2.75
28960,0.31,Very Good,I,VS2,60.8,60,435,4.37,4.42,2.67
28962,0.31,Very Good,I,VS2,60.7,61,435,4.32,4.34,2.63
28964,0.31,Very Good,H,SI1,61.7,59,435,4.36,4.39,2.7
28965,0.31,Premium,H,SI1,62.7,58,435,4.31,4.34,2.71
28967,0.31,Very Good,H,SI1,62.4,57,435,4.31,4.35,2.7
28968,0.31,Premium,I,VS2,62.3,60,435,4.31,4.32,2.69
28970,0.31,Premium,E,SI2,60.9,60,435,4.35,4.38,2.66
28971,0.31,Very Good,H,SI1,58.7,60,435,4.43,4.47,2.61
28973,0.25,Good,F,VS1,63.6,57,435,4.01,4.04,2.56
28975,0.31,Premium,I,VS2,59.8,60,435,4.38,4.42,2.63
28980,0.25,Very Good,F,VS1,62.1,58,436,4,4.05,2.5
28986,0.41,Good,E,SI1,63.1,57,685,4.71,4.73,2.98
28989,0.33,Ideal,E,VS1,60.6,57,686,4.49,4.52,2.73
28994,0.34,Ideal,F,VS2,61,57,686,4.48,4.5,2.74
29009,0.34,Premium,F,VS2,61.2,59,686,4.47,4.52,2.75
29011,0.34,Very Good,G,VS1,61.7,60,686,4.45,4.49,2.76
29012,0.34,Ideal,H,VVS2,61.8,54,686,4.47,4.49,2.77
29013,0.34,Very Good,H,VVS2,61.4,58,686,4.46,4.5,2.75
29014,0.34,Very Good,G,VS1,60.4,61,686,4.48,4.53,2.72
29017,0.31,Ideal,G,VVS2,61.5,56,687,4.38,4.4,2.7
29019,0.31,Ideal,G,VVS2,61.8,56,687,4.37,4.4,2.71
29022,0.31,Ideal,G,VVS2,62.1,54,687,4.38,4.41,2.73
29031,0.31,Ideal,H,VVS1,62.3,54,687,4.37,4.4,2.73
29034,0.31,Ideal,H,VVS1,62,54,687,4.34,4.37,2.7
29035,0.31,Ideal,H,VVS1,61.4,54,687,4.4,4.43,2.71
29036,0.24,Ideal,D,VS1,62.6,57,687,3.92,4,2.48
29038,0.4,Good,E,SI1,63.8,56,687,4.7,4.74,3.01
29039,0.4,Good,E,SI1,63.7,57,687,4.66,4.69,2.98
29043,0.42,Premium,G,SI1,62.7,58,687,4.75,4.79,2.99
29044,0.4,Good,F,SI1,63.6,56,687,4.63,4.68,2.96
29047,0.4,Good,E,SI1,63.9,58,687,4.63,4.67,2.97
29058,0.4,Good,E,SI1,63.5,57,687,4.7,4.72,2.99
29062,0.4,Good,E,SI1,63.7,56,687,4.66,4.69,2.98
29063,0.4,Very Good,F,SI1,62.9,58,687,4.69,4.72,2.96
29068,0.4,Very Good,E,SI1,63,57,687,4.65,4.68,2.94
29074,0.28,Very Good,E,IF,59.6,55,688,4.24,4.31,2.55
29075,0.32,Ideal,F,VS2,61.9,57,688,4.36,4.37,2.71
29078,0.38,Ideal,G,SI1,61.2,58,688,4.64,4.67,2.85
29080,0.43,Very Good,E,SI2,61.8,60,688,4.83,4.85,2.99
29085,0.36,Very Good,G,SI1,63.3,56,689,4.53,4.5,2.86
29086,0.36,Premium,G,SI1,62,59,689,4.56,4.53,2.82
29090,0.34,Good,H,VS2,63.7,57,689,4.44,4.42,2.82
29096,0.36,Ideal,D,SI2,62,56,689,4.6,4.56,2.84
29113,0.34,Ideal,H,VS2,61.7,57,689,4.48,4.46,2.76
29117,0.34,Premium,H,VS2,62.6,60,689,4.46,4.42,2.78
29118,0.34,Ideal,H,VS2,62.6,54,689,4.5,4.45,2.8
29120,0.34,Good,H,VS1,64,58,689,4.49,4.45,2.86
29122,0.4,Premium,D,SI1,60.9,60,689,4.74,4.78,2.9
29125,0.41,Ideal,F,SI1,62.2,54,690,4.78,4.8,2.98
29127,0.3,Very Good,G,VVS1,61.3,56,691,4.34,4.37,2.67
29131,0.44,Ideal,E,SI2,62,54,691,4.9,4.94,3.05
29137,0.32,Ideal,G,VVS2,61.4,56,692,4.42,4.44,2.72
29139,0.34,Ideal,E,VS2,62.5,55,692,4.45,4.48,2.79
29154,0.41,Very Good,J,VS1,61.8,56,693,4.75,4.79,2.95
29157,0.38,Ideal,F,SI1,62.5,53.7,693,4.64,4.66,2.91
29160,0.33,Premium,H,VS1,62.4,60,693,4.42,4.39,2.75
29161,0.33,Premium,G,VS2,61.3,61,693,4.47,4.43,2.73
29164,0.27,Good,D,VVS2,64.3,55,693,4.14,4.09,2.65
29165,0.33,Fair,F,VVS2,65.7,54,693,4.37,4.3,2.85
29168,0.4,Very Good,E,VS2,63,59,693,4.66,4.68,2.94
29169,0.33,Very Good,F,VVS2,63.5,54,694,4.42,4.37,2.79
29171,0.4,Very Good,F,SI1,59.6,58,694,4.81,4.82,2.87
29178,0.3,Ideal,F,VVS2,61.4,56,694,4.32,4.35,2.66
29186,0.3,Ideal,E,VS1,62.5,56,694,4.27,4.31,2.68
29187,0.3,Ideal,E,VS1,61.3,58,694,4.29,4.32,2.64
29188,0.3,Ideal,E,VS1,61.9,58,694,4.27,4.29,2.65
29195,0.4,Ideal,E,SI1,62.4,54,694,4.72,4.74,2.95
29196,0.33,Premium,I,IF,62.1,58,694,4.39,4.43,2.74
29199,0.44,Good,J,VS1,63.2,57,694,4.82,4.86,3.06
29202,0.33,Very Good,I,IF,62,58,694,4.44,4.46,2.76
29204,0.44,Good,J,VS1,63.1,57,694,4.83,4.87,3.06
29210,0.31,Ideal,F,VVS2,61.3,56,695,4.38,4.39,2.69
29212,0.32,Ideal,F,VS1,61.2,56.2,695,4.41,4.44,2.71
29219,0.34,Ideal,I,IF,61.6,54,695,4.5,4.53,2.78
29223,0.31,Premium,G,VS1,60.4,59,695,4.41,4.37,2.65
29227,0.31,Fair,G,VS1,64.6,55,695,4.31,4.26,2.77
29244,0.34,Very Good,E,VS2,62.7,56,696,4.48,4.51,2.82
29246,0.34,Good,E,VS2,63.8,56,696,4.44,4.49,2.85
29251,0.34,Very Good,D,VS2,59.5,56,698,4.55,4.59,2.72
29255,0.33,Ideal,H,VVS1,60.2,60,698,4.49,4.52,2.71
29259,0.39,Ideal,H,SI1,61.5,56,698,4.69,4.71,2.89
29260,0.31,Ideal,G,VS2,61.4,57,698,4.45,4.35,2.7
29267,0.31,Very Good,E,SI1,63.1,54,698,4.34,4.31,2.73
29268,0.31,Very Good,E,SI1,63.4,55,698,4.33,4.32,2.74
29272,0.31,Premium,E,SI1,63,59,698,4.31,4.26,2.7
29280,0.31,Premium,I,VVS2,62.2,57,698,4.37,4.34,2.71
29283,0.25,Very Good,E,VS1,59.9,56,436,4.1,4.15,2.47
29284,0.25,Very Good,D,VS1,63,59,436,3.97,4,2.51
29299,0.3,Ideal,I,VS2,61.6,57,438,4.28,4.33,2.65
29305,0.3,Ideal,I,VS2,62.7,54,438,4.28,4.3,2.69
29306,0.25,Ideal,G,VS1,62,54,438,4.06,4.07,2.52
29312,0.31,Premium,H,VS1,59.9,60,698,4.45,4.4,2.65
29316,0.31,Ideal,H,VS1,61.1,57,698,4.39,4.35,2.67
29318,0.31,Premium,H,VS1,61.1,59,698,4.36,4.35,2.66
29319,0.31,Ideal,H,VS1,61.7,57,698,4.38,4.34,2.69
29320,0.31,Ideal,H,VS1,62.4,55,698,4.36,4.33,2.71
29324,0.31,Premium,H,VS1,62.4,58,698,4.36,4.32,2.71
29329,0.31,Premium,H,VS1,61.8,61,698,4.36,4.32,2.68
29332,0.31,Good,H,VS1,63.6,55,698,4.32,4.29,2.74
29333,0.31,Premium,H,VS1,62.6,60,698,4.32,4.3,2.7
29334,0.31,Ideal,H,VS1,62.1,54,698,4.37,4.3,2.69
29335,0.31,Premium,H,VS1,61.5,61,698,4.34,4.31,2.66
29337,0.31,Good,H,VS1,64,59,698,4.28,4.25,2.73
29344,0.31,Ideal,G,VS2,61.6,55,698,4.39,4.37,2.7
29345,0.31,Premium,G,VS2,59.9,59,698,4.4,4.38,2.63
29352,0.31,Premium,G,VS2,62.4,59,698,4.38,4.34,2.72
29365,0.31,Premium,G,VS2,62.2,59,698,4.35,4.3,2.69
29375,0.31,Very Good,E,SI1,63.1,55,698,4.36,4.33,2.74
29376,0.31,Very Good,E,SI1,63.3,55,698,4.36,4.33,2.75
29378,0.31,Premium,E,SI1,59.2,60,698,4.42,4.36,2.6
29379,0.31,Very Good,E,SI1,63.4,55,698,4.35,4.32,2.75
29383,0.31,Ideal,E,SI1,62.7,57,698,4.32,4.29,2.7
29387,0.31,Very Good,E,SI1,63.4,55,698,4.33,4.31,2.74
29391,0.31,Very Good,E,SI1,63.5,57,698,4.32,4.28,2.73
29393,0.31,Very Good,E,SI1,63.2,59,698,4.31,4.24,2.7
29395,0.31,Good,E,SI1,63.6,57,698,4.3,4.28,2.73
29396,0.31,Premium,I,VVS2,62.1,58,698,4.37,4.33,2.7
29398,0.31,Premium,G,VS2,61.5,59,698,4.36,4.32,2.67
29405,0.33,Ideal,G,VS1,61.5,56,699,4.45,4.48,2.74
29408,0.31,Ideal,F,VVS2,61.7,55,700,4.33,4.36,2.68
29409,0.38,Ideal,I,VS1,62,54,700,4.67,4.72,2.91
29411,0.38,Premium,H,VS2,60.5,59,700,4.66,4.69,2.83
29415,0.42,Very Good,E,SI2,62.9,56,700,4.77,4.8,3.01
29416,0.42,Very Good,H,SI1,62.1,59,700,4.78,4.81,2.98
29418,0.42,Ideal,H,SI1,62.7,56,700,4.76,4.78,2.99
29421,0.42,Ideal,H,SI1,62.2,57,700,4.78,4.8,2.98
29422,0.38,Ideal,E,SI1,61.9,55,700,4.64,4.7,2.89
29423,0.38,Very Good,H,VS2,63,56,700,4.57,4.61,2.89
29426,0.42,Ideal,D,SI2,62.4,57,700,4.78,4.81,2.99
29435,0.42,Good,H,SI1,63.2,58,700,4.77,4.79,3.02
29436,0.38,Very Good,H,VS2,62.8,55,700,4.64,4.66,2.92
29440,0.32,Very Good,F,VVS2,63.8,55,701,4.33,4.39,2.78
29445,0.5,Fair,G,I1,64.6,60,701,5.04,4.96,3.23
29446,0.41,Very Good,F,SI1,62.5,58,702,4.74,4.77,2.97
29447,0.34,Ideal,E,VS2,61.5,56,702,4.48,4.5,2.76
29450,0.33,Ideal,E,SI1,61.2,56,702,4.46,4.49,2.74
29451,0.33,Ideal,E,SI1,61.6,55,702,4.47,4.49,2.76
29455,0.4,Premium,I,SI2,60.5,58,702,4.82,4.76,2.9
29456,0.32,Ideal,E,VS2,60.8,55,702,4.42,4.49,2.71
29457,0.33,Ideal,G,VVS2,62.6,53,702,4.43,4.45,2.78
29458,0.33,Ideal,H,VVS1,62.5,56,702,4.42,4.44,2.77
29461,0.32,Ideal,E,VS2,62.2,56,702,4.37,4.41,2.73
29462,0.32,Ideal,F,VS1,61.9,56,702,4.36,4.4,2.71
29466,0.32,Ideal,E,VS2,62,57,702,4.39,4.41,2.73
29473,0.32,Ideal,E,VS2,62,57,702,4.37,4.41,2.72
29479,0.4,Premium,G,SI1,61.4,60,702,4.67,4.71,2.88
29482,0.32,Ideal,E,VS2,62.3,56,702,4.38,4.41,2.74
29485,0.4,Very Good,G,SI1,62.8,60,702,4.66,4.7,2.94
29492,0.32,Ideal,F,VS1,61.9,56,702,4.35,4.4,2.71
29494,0.32,Ideal,E,VS2,61.6,55,702,4.41,4.42,2.72
29509,0.32,Ideal,E,VS2,62.1,55,702,4.36,4.4,2.72
29518,0.41,Ideal,J,VS1,62.7,56,703,4.73,4.77,2.98
29526,0.38,Ideal,I,VS1,61.9,54.7,703,4.63,4.68,2.88
29533,0.31,Very Good,E,VVS2,58.8,59,704,4.46,4.45,2.62
29534,0.3,Very Good,F,VS1,59.8,59,704,4.3,4.43,2.61
29535,0.3,Very Good,F,VS1,60.9,63,704,4.26,4.31,2.61
29537,0.4,Ideal,J,VVS1,62.4,54,704,4.73,4.75,2.96
29541,0.31,Ideal,D,VS1,62.1,56,704,4.3,4.36,2.69
29543,0.4,Fair,H,VS2,65.1,59,704,4.58,4.63,3
29546,0.43,Good,G,SI1,63.1,58,704,4.75,4.79,3.01
29547,0.38,Very Good,G,VS2,61.6,59,705,4.65,4.7,2.88
29552,0.25,Ideal,E,VVS2,61.7,56,705,4.05,4.07,2.5
29556,0.4,Ideal,H,SI1,62.1,55,705,4.73,4.77,2.95
29557,0.4,Ideal,H,SI1,61.3,57,705,4.77,4.79,2.93
29560,0.33,Premium,F,SI1,60.9,59,705,4.45,4.42,2.7
29563,0.3,Very Good,G,VVS1,62.4,59,705,4.25,4.31,2.67
29568,0.41,Good,E,SI1,63.2,58,705,4.68,4.72,2.97
29569,0.41,Very Good,E,SI1,60.5,63,705,4.77,4.81,2.9
29575,0.41,Very Good,E,SI1,61.1,62,705,4.76,4.83,2.93
29578,0.41,Premium,E,SI1,61.2,59,705,4.78,4.82,2.94
29579,0.41,Very Good,E,SI1,61.5,61,705,4.75,4.78,2.93
29586,0.43,Ideal,J,VS1,61.9,55.5,706,4.81,4.84,2.99
29590,0.43,Good,F,SI1,60.7,61,706,4.86,4.89,2.96
29602,0.35,Ideal,G,VS1,60.6,56,706,4.57,4.6,2.78
29604,0.35,Very Good,G,VS1,62.9,58,706,4.48,4.49,2.82
29606,0.35,Ideal,F,VS2,61.4,54,706,4.54,4.58,2.8
29612,0.27,Very Good,G,VS2,61.5,57,439,4.18,4.22,2.58
29613,0.27,Very Good,G,VS1,61.9,56,439,4.14,4.17,2.57
29621,0.23,Good,E,VVS1,59.9,65,439,3.93,3.95,2.36
29622,0.3,Good,J,SI1,64,55,439,4.28,4.25,2.73
29625,0.26,Very Good,H,VVS2,59.8,61,440,4.15,4.18,2.49
29633,0.24,Ideal,H,VVS2,62.5,54,442,3.95,3.98,2.48
29636,0.3,Ideal,H,SI1,62.4,53.7,442,4.29,4.31,2.68
29642,0.35,Premium,F,VS2,62,59,706,4.51,4.55,2.81
29648,0.35,Ideal,F,VS2,62.6,56,706,4.49,4.52,2.82
29652,0.35,Ideal,G,VS1,61.9,55,706,4.52,4.53,2.8
29655,0.35,Ideal,F,VS2,62.1,57,706,4.53,4.55,2.82
29658,0.35,Ideal,F,VS2,61.4,54,706,4.54,4.58,2.8
29662,0.35,Ideal,F,VS2,62.2,55,706,4.48,4.53,2.8
29667,0.35,Ideal,F,VS2,60.5,57,706,4.52,4.6,2.76
29668,0.35,Ideal,H,VVS2,62.5,57,706,4.48,4.54,2.82
29670,0.32,Ideal,G,VS1,61.3,55,707,4.45,4.43,2.72
29681,0.32,Ideal,D,VS1,61.1,56,707,4.44,4.47,2.72
29686,0.35,Ideal,D,VS2,60.5,56,707,4.6,4.63,2.79
29690,0.4,Very Good,E,SI1,62.8,59,707,4.7,4.73,2.96
29697,0.31,Good,G,VVS2,63.1,57,707,4.3,4.32,2.72
29701,0.31,Ideal,G,VVS2,62.1,56,707,4.32,4.35,2.69
29705,0.32,Ideal,E,VS1,61.9,56,707,4.42,4.47,2.75
29706,0.31,Very Good,G,VVS2,62.6,57,707,4.29,4.33,2.7
29709,0.31,Premium,G,VVS2,61.5,58,707,4.31,4.34,2.66
29710,0.31,Ideal,H,VVS1,62.2,56,707,4.34,4.37,2.71
29718,0.31,Ideal,G,VVS2,62.4,56,707,4.33,4.36,2.71
29723,0.31,Very Good,G,VVS2,62.1,56,707,4.27,4.33,2.67
29738,0.32,Ideal,G,VVS2,62,56,708,4.41,4.43,2.74
29739,0.32,Ideal,G,VVS2,62.1,54,708,4.4,4.42,2.74
29746,0.32,Ideal,H,VVS1,62,55,708,4.42,4.45,2.75
29752,0.39,Very Good,G,SI1,61.7,59.4,709,4.65,4.7,2.88
29753,0.45,Ideal,G,SI2,61.9,54,709,4.91,4.95,3.05
29756,0.3,Premium,D,SI1,63,58,709,4.27,4.24,2.68
29757,0.3,Premium,D,SI1,62.6,56,709,4.29,4.24,2.67
29759,0.3,Ideal,D,SI1,62,56,709,4.34,4.3,2.68
29763,0.35,Premium,I,VS1,60.7,62,709,4.59,4.53,2.77
29765,0.35,Premium,H,VS2,61.8,56,709,4.58,4.54,2.82
29770,0.3,Premium,I,VVS1,62.2,58,709,4.31,4.28,2.67
29773,0.3,Premium,I,VVS1,61.1,59,709,4.33,4.31,2.64
29779,0.3,Premium,I,VVS1,61.2,60,709,4.29,4.27,2.62
29781,0.3,Premium,I,VVS1,62.5,60,709,4.27,4.24,2.66
29785,0.3,Premium,D,SI1,59.7,59,709,4.37,4.34,2.6
29788,0.3,Ideal,D,SI1,61.4,55,709,4.34,4.29,2.65
29789,0.3,Premium,D,SI1,60.6,60,709,4.32,4.3,2.61
29792,0.3,Ideal,D,SI1,61.6,56,709,4.34,4.3,2.66
29793,0.3,Premium,D,SI1,61,60,709,4.35,4.3,2.64
29797,0.3,Ideal,D,SI1,62.5,57,709,4.32,4.29,2.69
29799,0.3,Ideal,D,SI1,62.2,55,709,4.33,4.29,2.68
29800,0.3,Very Good,D,SI1,63.3,55,709,4.31,4.28,2.72
29801,0.3,Ideal,D,SI1,61.6,57,709,4.32,4.28,2.65
29802,0.3,Premium,D,SI1,62.2,58,709,4.31,4.28,2.67
29803,0.3,Premium,D,SI1,62.2,58,709,4.31,4.28,2.67
29810,0.3,Premium,D,SI1,61,61,709,4.29,4.27,2.61
29812,0.3,Ideal,D,SI1,62.2,56,709,4.3,4.25,2.66
29813,0.3,Ideal,D,SI1,62.5,57,709,4.28,4.26,2.67
29820,0.3,Premium,D,SI1,62.3,59,709,4.25,4.22,2.64
29825,0.31,Very Good,E,VVS2,61.5,55,710,4.37,4.41,2.7
29829,0.42,Very Good,F,SI2,61.5,59,710,4.81,4.85,2.97
29832,0.31,Ideal,E,VVS2,61.8,58,710,4.3,4.34,2.67
29833,0.31,Ideal,G,VVS1,61.3,60,710,4.33,4.38,2.67
29838,0.3,Premium,D,VS2,62.2,60,710,4.28,4.3,2.67
29840,0.3,Ideal,D,VS2,62.5,54,710,4.29,4.32,2.69
